investor_id,n_sip,avg_gap_days,max_gap_days,total_sip_amt,avg_sip_amt,continuity_status
INV000097,2,122.0,122,22271,11135.5,at-risk
INV000098,3,330.0,508,3764,1254.67,at-risk
INV000100,3,260.0,393,82724,27574.67,at-risk
INV000101,4,192.0,368,45983,11495.75,at-risk
INV000102,5,90.8,154,109569,21913.8,at-risk
INV000103,3,103.5,178,14363,4787.67,at-risk
INV000104,4,191.0,390,46736,11684.0,at-risk
INV000105,6,115.6,334,83389,13898.17,at-risk
INV000109,6,83.6,296,22723,3787.17,regular
INV000113,2,31.0,31,11975,5987.5,regular
INV000116,2,154.0,154,15386,7693.0,at-risk
INV000117,2,56.0,56,17475,8737.5,regular
INV000129,2,157.0,157,23697,11848.5,at-risk
INV000131,5,121.0,362,91138,18227.6,at-risk
INV000132,3,60.0,62,78335,26111.67,regular
INV000133,3,104.0,147,33368,11122.67,at-risk
INV000143,2,118.0,118,20662,10331.0,at-risk
INV000144,2,334.0,334,9276,4638.0,at-risk
INV000146,2,334.0,334,14190,7095.0,at-risk
INV000147,2,118.0,118,4490,2245.0,at-risk
INV000148,6,61.4,189,65124,10854.0,regular
INV000150,2,389.0,389,9145,4572.5,at-risk
INV000156,2,157.0,157,5670,2835.0,at-risk
INV000158,3,106.5,127,20023,6674.33,at-risk
INV000160,2,153.0,153,29087,14543.5,at-risk
INV000161,2,426.0,426,26575,13287.5,at-risk
INV000163,5,135.0,327,33700,6740.0,at-risk
INV000164,2,120.0,120,7864,3932.0,at-risk
INV000166,3,213.0,396,10493,3497.67,at-risk
INV000167,4,122.0,154,27338,6834.5,at-risk
INV000169,2,417.0,417,10739,5369.5,at-risk
INV000172,3,89.5,152,68765,22921.67,regular
INV000173,2,175.0,175,5351,2675.5,at-risk
INV000175,3,45.0,80,10276,3425.33,regular
INV000180,4,172.0,391,11048,2762.0,at-risk
INV000182,2,300.0,300,4211,2105.5,at-risk
INV000183,2,274.0,274,62183,31091.5,at-risk
INV000191,4,68.7,145,61714,15428.5,regular
INV000194,4,100.7,144,29581,7395.25,at-risk
INV000196,2,419.0,419,46193,23096.5,at-risk
INV000201,3,28.5,29,29419,9806.33,regular
INV000203,2,57.0,57,29619,14809.5,regular
INV000205,2,459.0,459,23988,11994.0,at-risk
INV000210,3,258.5,457,25344,8448.0,at-risk
INV000211,3,210.0,275,21044,7014.67,at-risk
INV000213,3,76.0,144,10488,3496.0,regular
INV000214,3,181.5,213,26345,8781.67,at-risk
INV000215,2,91.0,91,54214,27107.0,at-risk
INV000217,4,182.0,363,32494,8123.5,at-risk
INV000219,3,317.5,513,42184,14061.33,at-risk
INV000220,3,270.0,336,16640,5546.67,at-risk
INV000222,4,39.7,62,18868,4717.0,regular
INV000224,3,117.0,174,77702,25900.67,at-risk
INV000225,2,208.0,208,11279,5639.5,at-risk
INV000226,3,123.5,212,5731,1910.33,at-risk
INV000227,3,62.0,68,25988,8662.67,regular
INV000228,7,45.7,91,223601,31943.0,regular
INV000229,2,301.0,301,18294,9147.0,at-risk
INV000230,2,32.0,32,19664,9832.0,regular
INV000231,4,89.3,179,15512,3878.0,regular
INV000234,3,200.5,216,79737,26579.0,at-risk
INV000235,2,147.0,147,3213,1606.5,at-risk
INV000238,3,182.0,335,124675,41558.33,at-risk
INV000243,2,640.0,640,35323,17661.5,at-risk
INV000245,2,203.0,203,9110,4555.0,at-risk
INV000249,3,164.5,300,156646,52215.33,at-risk
INV000255,4,49.0,92,19917,4979.25,regular
INV000257,3,331.5,610,49944,16648.0,at-risk
INV000259,3,303.5,332,8192,2730.67,at-risk
INV000260,3,101.5,183,32768,10922.67,at-risk
INV000261,2,510.0,510,28721,14360.5,at-risk
INV000263,3,168.5,182,71626,23875.33,at-risk
INV000265,2,454.0,454,33598,16799.0,at-risk
INV000267,2,302.0,302,22049,11024.5,at-risk
INV000276,3,121.5,145,7771,2590.33,at-risk
INV000279,7,111.5,326,47887,6841.0,at-risk
INV000280,4,193.3,335,83956,20989.0,at-risk
INV000283,3,268.0,295,17795,5931.67,at-risk
INV000284,2,61.0,61,23781,11890.5,regular
INV000287,3,193.5,203,6054,2018.0,at-risk
INV000288,2,399.0,399,61015,30507.5,at-risk
INV000289,4,149.3,239,52620,13155.0,at-risk
INV000291,3,240.5,424,64599,21533.0,at-risk
INV000292,2,27.0,27,61493,30746.5,regular
INV000293,2,88.0,88,28035,14017.5,regular
INV000303,2,153.0,153,13984,6992.0,at-risk
INV000304,4,141.7,236,52350,13087.5,at-risk
INV000306,3,268.0,390,11664,3888.0,at-risk
INV000308,2,88.0,88,8228,4114.0,regular
INV000309,4,130.0,304,7131,1782.75,at-risk
INV000310,3,179.0,295,5565,1855.0,at-risk
INV000312,4,32.7,64,73448,18362.0,regular
INV000314,2,60.0,60,4517,2258.5,regular
INV000315,3,95.5,185,14246,4748.67,at-risk
INV000316,2,90.0,90,9781,4890.5,regular
INV000319,2,121.0,121,9941,4970.5,at-risk
INV000320,2,70.0,70,22717,11358.5,regular
INV000321,4,173.0,266,70286,17571.5,at-risk
INV000328,4,140.7,184,33829,8457.25,at-risk
INV000329,2,88.0,88,1684,842.0,regular
INV000330,2,51.0,51,56545,28272.5,regular
INV000331,2,420.0,420,50991,25495.5,at-risk
INV000334,5,16.0,56,14680,2936.0,regular
INV000335,3,197.5,235,55659,18553.0,at-risk
INV000337,4,80.3,149,39357,9839.25,regular
INV000340,4,29.7,32,14400,3600.0,regular
INV000341,4,80.7,115,39238,9809.5,regular
INV000344,3,163.0,171,39100,13033.33,at-risk
INV000349,2,158.0,158,9184,4592.0,at-risk
INV000350,2,180.0,180,16928,8464.0,at-risk
INV000351,3,79.5,93,110015,36671.67,regular
INV000352,2,213.0,213,6728,3364.0,at-risk
INV000356,2,336.0,336,60233,30116.5,at-risk
INV000357,2,87.0,87,27937,13968.5,regular
INV000359,4,169.0,214,63464,15866.0,at-risk
INV000360,4,171.3,334,30405,7601.25,at-risk
INV000363,2,2.0,2,12981,6490.5,regular
INV000367,3,74.5,87,8866,2955.33,regular
INV000369,3,155.0,160,17623,5874.33,at-risk
INV000372,3,65.0,69,59008,19669.33,regular
INV000374,3,258.5,418,86272,28757.33,at-risk
INV000377,3,166.0,303,31569,10523.0,at-risk
INV000378,2,306.0,306,5611,2805.5,at-risk
INV000383,3,302.0,388,34990,11663.33,at-risk
INV000384,2,450.0,450,4243,2121.5,at-risk
INV000388,3,137.0,249,60899,20299.67,at-risk
INV000390,3,163.5,242,102028,34009.33,at-risk
INV000392,3,136.5,241,21695,7231.67,at-risk
INV000395,2,91.0,91,5617,2808.5,at-risk
INV000396,3,64.5,124,7914,2638.0,regular
INV000397,2,32.0,32,2937,1468.5,regular
INV000400,5,159.2,297,20709,4141.8,at-risk
INV000407,2,59.0,59,31128,15564.0,regular
INV000408,2,91.0,91,6972,3486.0,at-risk
INV000410,3,285.5,488,34478,11492.67,at-risk
INV000411,2,179.0,179,18329,9164.5,at-risk
INV000412,4,141.3,239,48661,12165.25,at-risk
INV000413,2,454.0,454,2809,1404.5,at-risk
INV000414,4,122.0,223,27614,6903.5,at-risk
INV000415,2,242.0,242,14000,7000.0,at-risk
INV000416,2,265.0,265,4016,2008.0,at-risk
INV000417,2,303.0,303,4198,2099.0,at-risk
INV000423,2,670.0,670,12912,6456.0,at-risk
INV000425,2,275.0,275,4688,2344.0,at-risk
INV000428,5,77.2,148,31427,6285.4,regular
INV000429,3,225.0,325,49066,16355.33,at-risk
INV000431,3,138.0,235,30458,10152.67,at-risk
INV000436,2,633.0,633,3865,1932.5,at-risk
INV000437,3,230.0,338,6131,2043.67,at-risk
INV000438,2,37.0,37,6765,3382.5,regular
INV000440,2,514.0,514,8342,4171.0,at-risk
INV000441,2,89.0,89,6278,3139.0,regular
INV000445,3,132.5,242,10733,3577.67,at-risk
INV000446,2,61.0,61,14018,7009.0,regular
INV000449,3,195.5,206,39056,13018.67,at-risk
INV000452,6,108.6,301,66366,11061.0,at-risk
INV000454,2,643.0,643,28375,14187.5,at-risk
INV000456,2,29.0,29,9555,4777.5,regular
INV000458,2,333.0,333,2964,1482.0,at-risk
INV000459,2,28.0,28,41950,20975.0,regular
INV000460,4,61.0,86,18504,4626.0,regular
INV000461,2,27.0,27,52441,26220.5,regular
INV000463,3,103.5,182,50099,16699.67,at-risk
INV000465,2,121.0,121,5006,2503.0,at-risk
INV000466,3,197.0,217,69508,23169.33,at-risk
INV000467,4,233.7,304,7593,1898.25,at-risk
INV000469,4,109.3,239,12444,3111.0,at-risk
INV000476,2,61.0,61,57269,28634.5,regular
INV000478,2,33.0,33,60372,30186.0,regular
INV000480,4,71.3,152,12466,3116.5,regular
INV000483,3,46.5,89,17529,5843.0,regular
INV000485,2,148.0,148,17695,8847.5,at-risk
INV000487,3,29.0,38,46886,15628.67,regular
INV000489,2,388.0,388,22248,11124.0,at-risk
INV000491,2,454.0,454,11627,5813.5,at-risk
INV000492,2,26.0,26,8265,4132.5,regular
INV000493,5,152.5,210,98628,19725.6,at-risk
INV000494,2,354.0,354,23198,11599.0,at-risk
INV000496,4,69.3,91,54555,13638.75,regular
INV000499,5,114.8,299,92833,18566.6,at-risk
INV000505,2,162.0,162,16935,8467.5,at-risk
INV000507,3,80.5,131,41418,13806.0,regular
INV000512,4,89.7,177,55759,13939.75,regular
INV000520,2,57.0,57,8553,4276.5,regular
INV000521,2,155.0,155,8807,4403.5,at-risk
INV000522,3,105.0,208,15826,5275.33,at-risk
INV000523,3,255.5,487,2779,926.33,at-risk
INV000524,3,225.0,422,53414,17804.67,at-risk
INV000527,2,93.0,93,43331,21665.5,at-risk
INV000530,2,185.0,185,59269,29634.5,at-risk
INV000531,3,208.5,357,33592,11197.33,at-risk
INV000533,2,93.0,93,83691,41845.5,at-risk
INV000535,3,276.0,549,49216,16405.33,at-risk
INV000538,2,33.0,33,83773,41886.5,regular
INV000539,4,113.3,239,48799,12199.75,at-risk
INV000540,3,89.0,90,25232,8410.67,regular
INV000542,3,79.0,94,8356,2785.33,regular
INV000543,2,123.0,123,69853,34926.5,at-risk
INV000544,2,150.0,150,14565,7282.5,at-risk
INV000545,2,206.0,206,7721,3860.5,at-risk
INV000546,5,68.2,152,84474,16894.8,regular
INV000547,3,135.0,151,8462,2820.67,at-risk
INV000548,2,487.0,487,2764,1382.0,at-risk
INV000550,2,246.0,246,8961,4480.5,at-risk
INV000554,3,164.0,240,22688,7562.67,at-risk
INV000555,2,29.0,29,27356,13678.0,regular
INV000556,4,152.0,359,41605,10401.25,at-risk
INV000559,2,88.0,88,58887,29443.5,regular
INV000562,3,243.5,426,10193,3397.67,at-risk
INV000565,2,23.0,23,14056,7028.0,regular
INV000568,2,210.0,210,2149,1074.5,at-risk
INV000569,2,274.0,274,36626,18313.0,at-risk
INV000570,5,113.5,238,70908,14181.6,at-risk
INV000572,2,97.0,97,15643,7821.5,at-risk
INV000573,2,32.0,32,45927,22963.5,regular
INV000575,3,257.5,480,20673,6891.0,at-risk
INV000577,3,109.0,123,53109,17703.0,at-risk
INV000578,3,272.0,424,43646,14548.67,at-risk
INV000580,2,303.0,303,58022,29011.0,at-risk
INV000584,2,338.0,338,2666,1333.0,at-risk
INV000586,3,106.5,124,51708,17236.0,at-risk
INV000587,2,693.0,693,9517,4758.5,at-risk
INV000591,2,545.0,545,3007,1503.5,at-risk
INV000593,2,298.0,298,12770,6385.0,at-risk
INV000595,3,57.0,61,11269,3756.33,regular
INV000596,3,199.0,277,71550,23850.0,at-risk
INV000597,4,64.0,93,37602,9400.5,regular
INV000598,3,106.5,189,24806,8268.67,at-risk
INV000600,2,126.0,126,30414,15207.0,at-risk
INV000601,3,48.0,67,16173,5391.0,regular
INV000602,2,120.0,120,24188,12094.0,at-risk
INV000603,3,199.0,253,10710,3570.0,at-risk
INV000604,3,168.5,219,75703,25234.33,at-risk
INV000607,3,60.0,90,21333,7111.0,regular
INV000609,2,4.0,4,9368,4684.0,regular
INV000611,2,300.0,300,10376,5188.0,at-risk
INV000612,4,100.0,209,16601,4150.25,at-risk
INV000615,2,449.0,449,8056,4028.0,at-risk
INV000616,4,183.7,299,5385,1346.25,at-risk
INV000619,2,30.0,30,11733,5866.5,regular
INV000624,2,187.0,187,33560,16780.0,at-risk
INV000625,2,155.0,155,2874,1437.0,at-risk
INV000631,3,119.5,143,33321,11107.0,at-risk
INV000641,4,131.0,236,45809,11452.25,at-risk
INV000642,3,30.5,38,42421,14140.33,regular
INV000645,3,148.0,211,21098,7032.67,at-risk
INV000646,3,181.0,244,5415,1805.0,at-risk
INV000651,3,123.0,236,14538,4846.0,at-risk
INV000652,2,113.0,113,26078,13039.0,at-risk
INV000657,3,273.0,483,46550,15516.67,at-risk
INV000659,2,5.0,5,2838,1419.0,regular
INV000662,4,193.7,272,21643,5410.75,at-risk
INV000663,2,4.0,4,2913,1456.5,regular
INV000664,4,149.7,172,39069,9767.25,at-risk
INV000665,4,101.0,122,23182,5795.5,at-risk
INV000666,2,93.0,93,8784,4392.0,at-risk
INV000667,2,146.0,146,30948,15474.0,at-risk
INV000671,2,236.0,236,8651,4325.5,at-risk
INV000675,3,209.5,268,16533,5511.0,at-risk
INV000676,8,81.4,183,109514,13689.25,regular
INV000678,4,180.7,272,6055,1513.75,at-risk
INV000680,2,511.0,511,2767,1383.5,at-risk
INV000683,2,172.0,172,2884,1442.0,at-risk
INV000687,2,282.0,282,9882,4941.0,at-risk
INV000689,2,93.0,93,27800,13900.0,at-risk
INV000695,2,638.0,638,2254,1127.0,at-risk
INV000696,2,120.0,120,10322,5161.0,at-risk
INV000698,3,121.0,151,49056,16352.0,at-risk
INV000701,2,144.0,144,5616,2808.0,at-risk
INV000704,2,38.0,38,5310,2655.0,regular
INV000707,5,150.5,389,39568,7913.6,at-risk
INV000708,2,542.0,542,10924,5462.0,at-risk
INV000709,3,137.5,182,66285,22095.0,at-risk
INV000711,2,305.0,305,11761,5880.5,at-risk
INV000714,3,134.5,236,6444,2148.0,at-risk
INV000715,2,388.0,388,1945,972.5,at-risk
INV000719,4,152.7,299,105703,26425.75,at-risk
INV000721,2,204.0,204,17735,8867.5,at-risk
INV000723,2,181.0,181,3477,1738.5,at-risk
INV000724,3,180.5,213,16454,5484.67,at-risk
INV000726,2,5.0,5,1359,679.5,regular
INV000728,2,477.0,477,35006,17503.0,at-risk
INV000737,3,244.0,454,68238,22746.0,at-risk
INV000738,3,269.0,275,10797,3599.0,at-risk
INV000739,2,65.0,65,10369,5184.5,regular
INV000741,2,151.0,151,37226,18613.0,at-risk
INV000742,3,196.5,391,59557,19852.33,at-risk
INV000745,2,454.0,454,8334,4167.0,at-risk
INV000747,2,573.0,573,6778,3389.0,at-risk
INV000750,2,360.0,360,34877,17438.5,at-risk
INV000751,4,92.3,185,23026,5756.5,at-risk
INV000752,3,153.5,212,23834,7944.67,at-risk
INV000754,4,203.3,326,86006,21501.5,at-risk
INV000756,2,214.0,214,29276,14638.0,at-risk
INV000759,3,93.0,182,6633,2211.0,at-risk
INV000762,2,57.0,57,12589,6294.5,regular
INV000765,2,181.0,181,4983,2491.5,at-risk
INV000768,5,173.0,277,69096,13819.2,at-risk
INV000769,2,451.0,451,15017,7508.5,at-risk
INV000771,3,256.0,335,13013,4337.67,at-risk
INV000772,2,249.0,249,55304,27652.0,at-risk
INV000774,3,287.5,362,77018,25672.67,at-risk
INV000776,2,487.0,487,13489,6744.5,at-risk
INV000777,2,32.0,32,15176,7588.0,regular
INV000778,3,209.5,267,32276,10758.67,at-risk
INV000781,3,168.0,190,49563,16521.0,at-risk
INV000783,3,151.0,214,72700,24233.33,at-risk
INV000785,2,357.0,357,5634,2817.0,at-risk
INV000786,3,60.5,64,20490,6830.0,regular
INV000788,3,94.5,98,25955,8651.67,at-risk
INV000789,4,181.7,304,83296,20824.0,at-risk
INV000792,2,303.0,303,17894,8947.0,at-risk
INV000793,3,302.0,359,20236,6745.33,at-risk
INV000803,4,201.0,574,24732,6183.0,at-risk
INV000809,2,93.0,93,8716,4358.0,at-risk
INV000810,3,288.5,483,53711,17903.67,at-risk
INV000813,3,152.0,274,24415,8138.33,at-risk
INV000814,2,179.0,179,39340,19670.0,at-risk
INV000822,3,152.5,158,49839,16613.0,at-risk
INV000823,2,245.0,245,23902,11951.0,at-risk
INV000825,2,124.0,124,13231,6615.5,at-risk
INV000827,3,76.0,126,6005,2001.67,regular
INV000829,3,108.5,146,16305,5435.0,at-risk
INV000830,2,326.0,326,3396,1698.0,at-risk
INV000831,4,90.0,155,21264,5316.0,regular
INV000833,2,6.0,6,12169,6084.5,regular
INV000836,4,113.3,266,81552,20388.0,at-risk
INV000843,4,140.7,308,48508,12127.0,at-risk
INV000844,5,159.2,358,34070,6814.0,at-risk
INV000845,2,329.0,329,7265,3632.5,at-risk
INV000847,4,118.7,174,12642,3160.5,at-risk
INV000850,2,28.0,28,6873,3436.5,regular
INV000851,3,238.0,364,16757,5585.67,at-risk
INV000852,3,259.5,304,24693,8231.0,at-risk
INV000853,2,633.0,633,14811,7405.5,at-risk
INV000854,4,203.3,482,57135,14283.75,at-risk
INV000855,2,430.0,430,1675,837.5,at-risk
INV000857,2,93.0,93,32172,16086.0,at-risk
INV000858,3,151.0,245,48257,16085.67,at-risk
INV000860,2,513.0,513,29411,14705.5,at-risk
INV000862,3,289.5,396,59139,19713.0,at-risk
INV000864,2,86.0,86,9145,4572.5,regular
INV000865,2,543.0,543,56841,28420.5,at-risk
INV000867,2,86.0,86,3222,1611.0,regular
INV000869,2,58.0,58,12912,6456.0,regular
INV000873,4,141.7,183,38988,9747.0,at-risk
INV000874,4,212.3,337,21246,5311.5,at-risk
INV000877,3,105.0,153,2039,679.67,at-risk
INV000879,2,33.0,33,4926,2463.0,regular
INV000881,3,41.0,50,6404,2134.67,regular
INV000885,2,212.0,212,5799,2899.5,at-risk
INV000888,3,150.5,182,39707,13235.67,at-risk
INV000890,2,91.0,91,2825,1412.5,at-risk
INV000893,4,104.3,191,12507,3126.75,at-risk
INV000894,3,133.0,234,21591,7197.0,at-risk
INV000897,3,301.0,545,18987,6329.0,at-risk
INV000901,2,5.0,5,7148,3574.0,regular
INV000902,3,120.0,146,58221,19407.0,at-risk
INV000907,2,2.0,2,9050,4525.0,regular
INV000908,2,182.0,182,6138,3069.0,at-risk
INV000909,4,170.0,305,32246,8061.5,at-risk
INV000910,2,181.0,181,4529,2264.5,at-risk
INV000914,2,83.0,83,24711,12355.5,regular
INV000919,2,604.0,604,8178,4089.0,at-risk
INV000920,4,213.3,357,95503,23875.75,at-risk
INV000926,3,229.0,268,9068,3022.67,at-risk
INV000927,3,107.0,121,57969,19323.0,at-risk
INV000929,2,692.0,692,10721,5360.5,at-risk
INV000930,4,119.7,296,17141,4285.25,at-risk
INV000931,3,317.5,509,40413,13471.0,at-risk
INV000934,2,59.0,59,5175,2587.5,regular
INV000935,4,110.7,217,11323,2830.75,at-risk
INV000939,4,150.0,416,52221,13055.25,at-risk
INV000942,3,72.0,122,80508,26836.0,regular
INV000944,2,213.0,213,66802,33401.0,at-risk
INV000947,2,92.0,92,41368,20684.0,at-risk
INV000949,3,243.5,329,27528,9176.0,at-risk
INV000953,2,217.0,217,15889,7944.5,at-risk
INV000954,4,214.7,392,33121,8280.25,at-risk
INV000958,2,150.0,150,60691,30345.5,at-risk
INV000960,2,92.0,92,13449,6724.5,at-risk
INV000962,3,58.0,60,12197,4065.67,regular
INV000963,2,454.0,454,10574,5287.0,at-risk
INV000966,2,87.0,87,23371,11685.5,regular
INV000971,2,423.0,423,3069,1534.5,at-risk
INV000972,2,5.0,5,7987,3993.5,regular
INV000974,3,332.0,550,18690,6230.0,at-risk
INV000977,3,258.5,426,22335,7445.0,at-risk
INV000978,2,223.0,223,11728,5864.0,at-risk
INV000979,5,128.0,305,133684,26736.8,at-risk
INV000980,4,190.0,325,131157,32789.25,at-risk
INV000981,4,128.7,204,66215,16553.75,at-risk
INV000983,3,141.5,252,22409,7469.67,at-risk
INV000990,2,9.0,9,8465,4232.5,regular
INV000992,2,269.0,269,17073,8536.5,at-risk
INV000994,4,109.3,187,31905,7976.25,at-risk
INV000995,2,385.0,385,15363,7681.5,at-risk
INV000997,2,116.0,116,30017,15008.5,at-risk
INV000999,4,70.3,145,60556,15139.0,regular
INV001001,2,517.0,517,2698,1349.0,at-risk
INV001002,7,51.3,97,38098,5442.57,regular
INV001005,4,111.7,180,16552,4138.0,at-risk
INV001006,3,49.5,62,73685,24561.67,regular
INV001008,5,150.0,395,54041,10808.2,at-risk
INV001011,3,138.5,155,54666,18222.0,at-risk
INV001012,2,66.0,66,3671,1835.5,regular
INV001013,3,153.5,301,76794,25598.0,at-risk
INV001014,3,244.0,307,32018,10672.67,at-risk
INV001017,2,302.0,302,6133,3066.5,at-risk
INV001019,5,174.2,363,42077,8415.4,at-risk
INV001020,2,211.0,211,74061,37030.5,at-risk
INV001021,3,168.0,204,36980,12326.67,at-risk
INV001023,2,345.0,345,11899,5949.5,at-risk
INV001026,3,110.5,188,16535,5511.67,at-risk
INV001028,3,303.0,390,29531,9843.67,at-risk
INV001029,2,132.0,132,25894,12947.0,at-risk
INV001031,2,121.0,121,82394,41197.0,at-risk
INV001037,5,120.8,244,55915,11183.0,at-risk
INV001038,2,145.0,145,3768,1884.0,at-risk
INV001039,5,120.8,152,17217,3443.4,at-risk
INV001041,4,122.3,218,57989,14497.25,at-risk
INV001046,2,507.0,507,4861,2430.5,at-risk
INV001048,4,190.0,361,26063,6515.75,at-risk
INV001050,2,449.0,449,2612,1306.0,at-risk
INV001051,4,171.0,452,31831,7957.75,at-risk
INV001058,3,210.0,326,4863,1621.0,at-risk
INV001060,2,477.0,477,5534,2767.0,at-risk
INV001061,4,121.7,176,64537,16134.25,at-risk
INV001063,4,81.0,99,11554,2888.5,regular
INV001064,3,47.0,88,59171,19723.67,regular
INV001065,3,303.0,515,26918,8972.67,at-risk
INV001067,2,453.0,453,5972,2986.0,at-risk
INV001069,4,201.3,299,33077,8269.25,at-risk
INV001070,3,275.5,339,97097,32365.67,at-risk
INV001075,2,81.0,81,26439,13219.5,regular
INV001077,2,92.0,92,20346,10173.0,at-risk
INV001080,2,598.0,598,12259,6129.5,at-risk
INV001083,3,193.5,299,59927,19975.67,at-risk
INV001091,2,394.0,394,7607,3803.5,at-risk
INV001092,2,71.0,71,29046,14523.0,regular
INV001099,2,155.0,155,28258,14129.0,at-risk
INV001101,3,256.0,333,7156,2385.33,at-risk
INV001102,5,81.5,145,58241,11648.2,regular
INV001106,2,208.0,208,11365,5682.5,at-risk
INV001109,2,88.0,88,4473,2236.5,regular
INV001111,2,61.0,61,57437,28718.5,regular
INV001112,3,133.0,202,23010,7670.0,at-risk
INV001115,3,182.5,302,16091,5363.67,at-risk
INV001116,3,166.5,247,51949,17316.33,at-risk
INV001122,2,132.0,132,16548,8274.0,at-risk
INV001123,2,23.0,23,3424,1712.0,regular
INV001124,2,187.0,187,54746,27373.0,at-risk
INV001128,2,4.0,4,57166,28583.0,regular
INV001130,3,105.5,206,67153,22384.33,at-risk
INV001131,2,449.0,449,4345,2172.5,at-risk
INV001137,5,119.2,390,28086,5617.2,at-risk
INV001140,2,693.0,693,7108,3554.0,at-risk
INV001142,4,201.7,266,40286,10071.5,at-risk
INV001144,2,60.0,60,27612,13806.0,regular
INV001150,2,326.0,326,46937,23468.5,at-risk
INV001152,3,119.0,188,16975,5658.33,at-risk
INV001155,2,117.0,117,7214,3607.0,at-risk
INV001156,2,641.0,641,36594,18297.0,at-risk
INV001157,2,333.0,333,11747,5873.5,at-risk
INV001160,6,121.8,332,27433,4572.17,at-risk
INV001161,3,46.0,83,69241,23080.33,regular
INV001163,4,81.3,153,15492,3873.0,regular
INV001167,2,0.0,0,49543,24771.5,regular
INV001168,3,208.0,302,15489,5163.0,at-risk
INV001170,4,162.0,234,66828,16707.0,at-risk
INV001178,4,89.7,98,12312,3078.0,regular
INV001180,2,332.0,332,43047,21523.5,at-risk
INV001181,4,121.0,240,74605,18651.25,at-risk
INV001183,4,88.7,207,7365,1841.25,regular
INV001186,3,16.0,29,9060,3020.0,regular
INV001190,5,105.8,243,38947,7789.4,at-risk
INV001193,2,235.0,235,16501,8250.5,at-risk
INV001195,2,299.0,299,9308,4654.0,at-risk
INV001196,2,696.0,696,53403,26701.5,at-risk
INV001198,2,241.0,241,31849,15924.5,at-risk
INV001202,6,138.2,420,35292,5882.0,at-risk
INV001206,4,141.0,220,67622,16905.5,at-risk
INV001207,2,116.0,116,67596,33798.0,at-risk
INV001208,2,387.0,387,35832,17916.0,at-risk
INV001210,5,83.2,184,19162,3832.4,regular
INV001212,2,298.0,298,10757,5378.5,at-risk
INV001215,2,274.0,274,27734,13867.0,at-risk
INV001217,2,206.0,206,8811,4405.5,at-risk
INV001218,2,274.0,274,2963,1481.5,at-risk
INV001219,5,63.0,96,66294,13258.8,regular
INV001220,2,81.0,81,1595,797.5,regular
INV001222,2,546.0,546,48426,24213.0,at-risk
INV001223,4,92.7,186,23923,5980.75,at-risk
INV001225,2,85.0,85,58687,29343.5,regular
INV001228,2,576.0,576,76217,38108.5,at-risk
INV001230,2,309.0,309,44172,22086.0,at-risk
INV001232,2,390.0,390,49057,24528.5,at-risk
INV001233,2,189.0,189,17885,8942.5,at-risk
INV001234,2,326.0,326,7516,3758.0,at-risk
INV001235,7,111.3,277,119878,17125.43,at-risk
